name,poster,quote,ranking,reviews_num,score
海豚湾,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p455222172.jpg,海豚的微笑，是世界上最高明的伪装。,45,197719,9.3
辩护人,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg,电影的现实意义大过电影本身。,46,241342,9.1
V字仇杀队,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1465235231.jpg,一张面具背后的理想与革命。,47,470075,8.8
死亡诗社,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824340.jpg,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,48,312704,9.0
教父2,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg,优雅的孤独。,49,210106,9.1
美丽心灵,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg,爱是一切逻辑和原由。,50,337406,8.9
指环王2：双塔奇兵,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p909265336.jpg,承前启后的史诗篇章。,51,299267,9.0
指环王1：魔戒再现,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1354436051.jpg,传说的开始。,52,334968,8.9
摔跤吧！爸爸,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2457983084.jpg,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,53,527596,9.1
情书,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p449897379.jpg,暗恋的极致。,54,416047,8.8
饮食男女,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg,人生不能像做菜，把所有的料都准备好了才下锅。,55,227150,9.1
美国往事,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg,往事如烟，无处祭奠。,56,193781,9.1
狮子王,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p726659067.jpg,动物版《哈姆雷特》。,57,312572,8.9
钢琴家,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792484461.jpg,音乐能化解仇恨。,58,222718,9.0
素媛,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,59,209155,9.1
天使爱美丽,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p803896904.jpg,法式小清新。 ,60,524846,8.7
七宗罪,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457631605.jpg,警察抓小偷，老鼠玩死猫。,61,473019,8.7
小鞋子,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173580603.jpg,奔跑的孩子是天使。,62,155839,9.2
被嫌弃的松子的一生,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453723669.jpg,以戏谑来戏谑戏谑。,63,325207,8.9
致命魔术,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg,孪生蝙蝠侠大战克隆金刚狼。,64,379910,8.8
看不见的客人,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg,你以为你以为的就是你以为的。,65,388188,8.8
音乐之声,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453788577.jpg,用音乐化解仇恨，让歌声串起美好。,66,253475,8.9
勇敢的心,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1374546770.jpg,史诗大片的典范。,67,317574,8.8
本杰明·巴顿奇事,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg,在时间之河里感受溺水之苦。,68,430850,8.8
剪刀手爱德华,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p480956937.jpg,浪漫忧郁的成人童话。,69,528372,8.7
低俗小说,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg,故事的高级讲法。,70,369167,8.8
西西里的美丽传说,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792400696.jpg,美丽无罪。,71,390864,8.7
黑客帝国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg,视觉革命。,72,310728,8.8
拯救大兵瑞恩,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg,美利坚精神输出大片No1.,73,265509,8.9
沉默的羔羊,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg,安东尼·霍普金斯的顶级表演。,74,387413,8.7
入殓师,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p594972928.jpg,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,75,341002,8.8
蝴蝶效应,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg,人的命运被自己瞬间的抉择改变。,76,418641,8.7
让子弹飞,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg,你给我翻译翻译，神马叫做TMD的惊喜。,77,684995,8.7
春光乍泄,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg,爱情纠缠，男女一致。,78,273693,8.8
玛丽和马克思,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1820615077.jpg,你是我最好的朋友，你是我唯一的朋友 。,79,246309,8.9
大闹天宫,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg,经典之作，历久弥新。,80,113384,9.3
心灵捕手,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg,人生中应该拥有这样的一段豁然开朗。,81,299153,8.8
末代皇帝,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452088641.jpg,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,82,193296,8.9
阳光灿烂的日子,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p967457079.jpg,一场华丽的意淫。,83,295800,8.8
幽灵公主,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1613191025.jpg,人与自然的战争史诗。,84,256988,8.8
第六感,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2220184425.jpg,深入内心的恐怖，出人意料的结局。,85,255382,8.8
重庆森林,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792381411.jpg,寂寞没有期限。,86,363552,8.7
布达佩斯大饭店,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2178872593.jpg,小清新的故事里注入了大历史的情怀。,87,351870,8.8
禁闭岛,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1832875827.jpg,昔日翩翩少年，今日大腹便便。,88,394450,8.7
哈利·波特与魔法石,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p804947166.jpg,童话世界的开端。,89,289190,8.7
狩猎,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1546987967.jpg,人言可畏。,90,144729,9.0
大鱼,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p692813374.jpg,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,91,274265,8.7
致命ID,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453720880.jpg,最不可能的那个人永远是最可能的。,92,348099,8.6
射雕英雄传之东成西就,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1993903133.jpg,百看不厌。 ,93,299882,8.7
猫鼠游戏,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg,骗子大师和执著警探的你追我跑故事。 ,94,255814,8.8
